,accuracy,auroc,f1,sensitivity,specificity,youden_index,optimal_threshold,fpr,tpr,best_epoch,train_loss
Epat39,0.8157894736842105,0.9272727272727272,0.5882352941176471,1.0,0.7878787878787878,0.7878787878787878,0.38443583,"[0.0, 0.0, 0.0, 0.15151515151515152, 0.15151515151515152, 0.21212121212121213, 0.21212121212121213, 1.0]","[0.0, 0.2, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]",6,0.4636536352683843
Spat53,1.0,1.0,1.0,1.0,1.0,1.0,0.7203777,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",6,0.46233571563929193
Epat37,0.8032786885245902,0.7035714285714285,0.3333333333333333,0.6,0.8214285714285714,0.4214285714285714,0.3618407,"[0.0, 0.017857142857142856, 0.05357142857142857, 0.05357142857142857, 0.16071428571428573, 0.16071428571428573, 0.17857142857142858, 0.17857142857142858, 0.44642857142857145, 0.44642857142857145, 0.6428571428571429, 0.6428571428571429, 1.0]","[0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.4, 0.6, 0.6, 0.8, 0.8, 1.0, 1.0]",6,0.4453625279437205
Spat36,0.8,0.6324786324786325,0.4,0.5,0.8461538461538461,0.34615384615384615,0.64782053,"[0.0, 0.0, 0.05128205128205128, 0.05128205128205128, 0.15384615384615385, 0.15384615384615385, 0.4358974358974359, 0.4358974358974359, 0.7692307692307693, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 1.0]","[0.0, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.6666666666666666, 0.6666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",6,0.48173756685909
Spat34,0.9761904761904762,0.9874999999999999,0.8,1.0,0.975,0.975,0.73873657,"[0.0, 0.0, 0.025, 0.025, 1.0]","[0.0, 0.5, 0.5, 1.0, 1.0]",6,0.454093808515635
Epat38,0.9130434782608695,0.9232804232804233,0.6666666666666666,1.0,0.9047619047619048,0.9047619047619048,0.5164258,"[0.0, 0.015873015873015872, 0.047619047619047616, 0.047619047619047616, 0.07936507936507936, 0.07936507936507936, 0.09523809523809523, 0.09523809523809523, 1.0]","[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 0.8333333333333334, 1.0, 1.0]",6,0.4734606399845005
Spat30,0.5,0.5895833333333333,0.3829787234042553,0.9,0.41666666666666663,0.31666666666666665,0.102041185,"[0.0, 0.020833333333333332, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.125, 0.125, 0.4166666666666667, 0.4166666666666667, 0.4583333333333333, 0.4583333333333333, 0.5, 0.5, 0.5416666666666666, 0.5416666666666666, 0.5833333333333334, 0.5833333333333334, 0.8958333333333334, 0.8958333333333334, 1.0]","[0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.4, 0.4, 0.6, 0.6, 0.7, 0.7, 0.8, 0.8, 0.9, 0.9, 1.0, 1.0]",6,0.40990455959524424
Epat34,0.6428571428571429,0.6875,0.2857142857142857,1.0,0.6153846153846154,0.6153846153846154,0.40187028,"[0.0, 0.019230769230769232, 0.17307692307692307, 0.17307692307692307, 0.34615384615384615, 0.34615384615384615, 0.38461538461538464, 0.38461538461538464, 1.0]","[0.0, 0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]",6,0.47906859318205525
Spat50,0.07407407407407407,0.038461538461538436,0.07407407407407407,1.0,0.038461538461538436,0.038461538461538436,0.5106924,"[0.0, 0.019230769230769232, 0.9615384615384616, 0.9615384615384616, 1.0]","[0.0, 0.0, 0.0, 1.0, 1.0]",6,0.45985619299843894
Spat55,1.0,,0.0,,1.0,,inf,"[0.0, 0.020833333333333332, 1.0]","[nan, nan, nan]",6,0.4660723233098135
Spat31,0.8947368421052632,0.8855218855218855,0.7777777777777778,0.6363636363636364,1.0,0.6363636363636364,0.76919883,"[0.0, 0.0, 0.0, 0.1111111111111111, 0.1111111111111111, 0.18518518518518517, 0.18518518518518517, 0.4074074074074074, 0.4074074074074074, 0.5555555555555556, 0.5555555555555556, 1.0]","[0.0, 0.09090909090909091, 0.6363636363636364, 0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 0.8181818181818182, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 1.0, 1.0]",6,0.4534866004410185
